epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,1456.73,0.6365,1.65484,0.52143,0.96769,0,0.94474,0.74494,0.85044,0.69662,0.8153,0.63388,0.62384,0.34399,0.83823,3.59305,0.67809,1.23733,0,0.000462259,0.000462259,0.000462259
75,1476.32,0.62304,1.60449,0.50929,0.97792,0,0.92793,0.80529,0.87251,0.70067,0.7231,0.70142,0.65407,0.32395,0.82832,3.60648,0.63809,1.2223,0,0.000445756,0.000445756,0.000445756
76,1495.98,0.65124,1.61857,0.52436,0.98023,0,0.90429,0.78026,0.85776,0.69362,0.73713,0.65557,0.65007,0.3552,0.84407,3.5401,0.69044,1.22447,0,0.000429253,0.000429253,0.000429253
77,1515.61,0.60634,1.49648,0.48543,0.96018,0,0.92567,0.75516,0.83258,0.69599,0.77735,0.60744,0.62492,0.35786,0.81346,3.21416,0.7261,1.19297,0,0.000412749,0.000412749,0.000412749
78,1535.26,0.60638,1.43763,0.49424,0.96845,0,0.92261,0.77797,0.8436,0.68665,0.74785,0.61772,0.62359,0.34744,0.80901,3.92988,0.71887,1.17685,0,0.000396246,0.000396246,0.000396246
79,1554.84,0.61368,1.47318,0.48959,0.98272,0,0.88808,0.78613,0.8319,0.70091,0.8131,0.61277,0.6434,0.33402,0.77525,3.66311,0.75989,1.15396,0,0.000379743,0.000379743,0.000379743
80,1574.41,0.59026,1.51185,0.47357,0.95501,0,0.89231,0.80972,0.86029,0.71105,0.80724,0.6164,0.6545,0.35495,0.80747,3.68822,0.65377,1.22317,0,0.000363239,0.000363239,0.000363239
81,1593.94,0.6039,1.45227,0.49005,0.97033,0,0.9362,0.80972,0.8685,0.71614,0.80539,0.6164,0.65011,0.36291,0.76992,3.74093,0.63716,1.19232,0,0.000346736,0.000346736,0.000346736
82,1613.5,0.59555,1.52675,0.48037,0.9672,0,0.99651,0.74484,0.86345,0.71846,0.86309,0.61035,0.63553,0.35659,0.75859,3.76888,0.65167,1.1714,0,0.000330233,0.000330233,0.000330233
83,1633.02,0.60983,1.55019,0.49313,0.97889,0,0.91807,0.79656,0.86765,0.71406,0.74963,0.64142,0.61787,0.33293,0.81038,3.49932,0.64067,1.18593,0,0.000313729,0.000313729,0.000313729
